case_id,duration_days,n_events,crop,state
MALAPPURAM_Amarphophallus (Surankand/Elephant Foot Yam),0,1,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
MALAPPURAM_Arecanut,321,50,Arecanut,KERALA
MALAPPURAM_Ash Gourd (Petha),227,2,Ash Gourd (Petha),KERALA
MALAPPURAM_Avacado,0,1,Avacado,KERALA
MALAPPURAM_Banana,286,55,Banana,KERALA
MALAPPURAM_Bhindi(Okra/Ladysfinger),116,12,Bhindi(Okra/Ladysfinger),KERALA
MALAPPURAM_Bitter Gourd,208,4,Bitter Gourd,KERALA
"MALAPPURAM_Bovine(Cow,Buffalo)",0,1,"Bovine(Cow,Buffalo)",KERALA
MALAPPURAM_Brinjal,248,11,Brinjal,KERALA
MALAPPURAM_Chillies,312,12,Chillies,KERALA
